2014-10-30 18:28:34,;.?40439700672,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700672', 1, 5, '[TV] TV check', 'NG/V', 95.9, 0.0, -40.0, 40.0, '400, 400, X, X','396,396,25,22', 36.2, 'Good:90.3 | Error:0.00/0.00/0.140/0.001/9.554 , [A/OK]', 1, 650033) 
2014-10-30 19:04:30,;.?40439700720,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700720', 1, 4, '[RF] Tool Option Write', 'NG',38.5,'b 00 OK1804x , c 00 OK0988x , f 00 OK3f01x , g 00 OK3768x , j 00 OKc80ax , p 00 OK0111x , b 00 OK1804x , c 00 OK0988x , f 00 OK3f01x , g 00 OK3768x , j 00 OKc80ax , p 00 OK0111x , a 01 NG00x , a 01 NG00x , a 01 NG00x', 1, 650033) 
2014-10-30 20:21:48,;.?40439700779,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40439700779', 1, 2, 'DFT STRAT', 45.9, '-', 1, 650033) 
2014-10-31 08:49:32,;.?40443500003,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40443500003', 1, 22, 'USB1 TEST', 'NG',7.5,'b 01 OK20x , NG 1 4 ', 1, 650033) 
2014-10-31 08:51:37,;.?40443500003,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40443500003', 1, 22, 'USB1 TEST', 'NG',43.7,'b 01 OK20x , NG 1 4 ', 1, 650033) 
2014-10-31 09:06:17,;.?40443500002,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40443500002', 1, 9, 'SPDIF OUT Audio Test', 'NG/A','400, 400, X, X','0,0,2,2',51.0,'[A/NG]', 1, 650033) 
2014-10-31 21:45:08,;.?40028500020,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40028500020', 1, 5, '[TV] TV check', 'NG/A', -47.8, 0.0, -50.0, 50.0, '400, 400, X, X','0,0,2,2', 21.8, 'Good:100.0 | Error:0.00/0.00/0.000/0.000/0.001 , [A/NG]', 1, 650033) 
2014-10-31 21:45:54,;.?40028500020,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40028500020', 1, 5, '[TV] TV check', 'NG/A', -47.8, 0.0, -50.0, 50.0, '400, 400, X, X','0,0,2,2', 36.1, 'Good:100.0 | Error:0.00/0.00/0.000/0.000/0.001 , [A/NG]', 1, 650033) 
2014-10-31 21:47:00,;.?40028500020,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40028500020', 1, 9, 'Key2 Test', 'NG',16.7,'Key Check , i 01 NG92x', 1, 650033) 
2014-11-03 06:08:28,;.?40028500020,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40028500020', 1, 11, 'USB1 TEST', 'NG',202837.0,'NG 1 4', 1, 650033) 
